"","Mill","Date","Grade","Caliper","Width","Plant","Tons"
"1","M1",2016-01-03,"OMXX","72-14-F",25.25,"PLT00020",41.0315
"2","M1",2016-01-04,"OMXX","72-14-F",25.25,"PLT00020",20.8595
"3","M1",2016-01-04,"OMXX","72-14-F",29.875,"PLT00044",95.8475
"4","M1",2016-01-04,"OMXX","72-14-F",37.375,"PLT00041",23.633
"5","M1",2016-01-04,"OMXX","72-14-F",39.25,"PLT00070",40.441
"6","M1",2016-01-04,"OMXX","72-14-F",40.25,"PLT00041",20.388
"7","M1",2016-01-04,"OMXX","72-14-F",41.375,"PLT00041",21.1015
"8","M1",2016-01-04,"OMXX","72-14-F",43.625,"PLT00041",11.0795
"9","M1",2016-01-04,"OMXX","72-14-F",57.875,"PLT00041",29.553
"10","M1",2016-01-05,"OMXX","72-14-F",31.125,"PLT00044",95.41
"11","M1",2016-01-05,"OMXX","72-14-F",39.875,"PLT00041",101.4975
"12","M1",2016-01-05,"OMXX","72-14-F",45.625,"PLT00006",60.7515
"13","M1",2016-01-05,"OMXX","72-14-F",55.125,"PLT00042",20.9925
"14","M1",2016-01-05,"OMXX","72-16-F",39,"PLT00043",9.6405
"15","M1",2016-01-05,"OMXX","72-18-F",39.625,"PLT00043",7.071
"16","M1",2016-01-06,"OMXX","72-14-F",29.875,"PLT00044",1.902
"17","M1",2016-01-06,"OMXX","72-14-F",31.125,"PLT00044",15.9605
"18","M1",2016-01-06,"OMXX","72-14-F",37.375,"PLT00041",2.3835
"19","M1",2016-01-06,"OMXX","72-14-F",39.875,"PLT00041",25.5145
"20","M1",2016-01-06,"OMXX","72-14-F",40.25,"PLT00041",12.642
"21","M1",2016-01-06,"OMXX","72-14-F",45.625,"PLT00006",75.3725
"22","M1",2016-01-06,"OMXX","72-14-F",53.875,"PLT00051",41.195
"23","M1",2016-01-06,"OMXX","72-14-F",55,"PLT00041",49.129
"24","M1",2016-01-06,"OMXX","72-14-F",57.875,"PLT00041",7.2855
"25","M1",2016-01-06,"OMXX","72-15-F",28.75,"PLT00044",148.959
"26","M1",2016-01-06,"OMXX","72-15-F",32.5,"PLT00044",110.215
"27","M1",2016-01-06,"OMXX","72-15-F",38.7008,"PLT00EUR",53.422
"28","M1",2016-01-06,"OMXX","72-16-F",24.75,"PLT00048",42.4455
"29","M1",2016-01-06,"OMXX","72-16-F",30.625,"PLT00048",44.9755
"30","M1",2016-01-06,"OMXX","72-16-F",31.375,"PLT00042",1.927
"31","M1",2016-01-06,"OMXX","72-16-F",57.0866,"PLT00EUR",7.043
"32","M1",2016-01-06,"OMXX","72-17-F",44,"PLT00009",10.602
"33","M1",2016-01-06,"OMXX","72-17-F",52.0472,"PLT00EUR",6.321
"34","M1",2016-01-06,"OMXX","72-17-F",54.0157,"PLT00EUR",3.2595
"35","M1",2016-01-06,"OMXX","72-17-F",54.75,"PLT00009",3.351
"36","M1",2016-01-06,"OMXX","72-20-W",24.75,"PLT00009",5.8385
"37","M1",2016-01-06,"OMXX","72-20-W",37.0079,"PLT00EUR",4.2285
"38","M1",2016-01-07,"AKOS","72-18-F",37.875,"PLT00068",36.568
"39","M1",2016-01-07,"AKPG","72-18-F",64.5,"PLT00068",54.075
"40","M1",2016-01-07,"OMXX","72-14-F",26.5,"PLT00048",66.463
"41","M1",2016-01-07,"OMXX","72-14-F",32.375,"PLT00070",12.279
"42","M1",2016-01-07,"OMXX","72-14-F",38.75,"PLT00006",12.303
"43","M1",2016-01-07,"OMXX","72-14-F",39.25,"PLT00070",7.4945
"44","M1",2016-01-07,"OMXX","72-14-F",45.625,"PLT00006",5.8165
"45","M1",2016-01-07,"OMXX","72-15-F",28.75,"PLT00044",124.124
"46","M1",2016-01-07,"OMXX","72-15-F",32.5,"PLT00044",76.673
"47","M1",2016-01-07,"OMXX","72-15-F",38.7008,"PLT00EUR",80.205
"48","M1",2016-01-07,"OMXX","72-15-F",39.25,"PLT00009",177.7855
"49","M1",2016-01-07,"OMXX","72-16-F",39.5,"PLT00042",9.599
"50","M1",2016-01-07,"OMXX","72-16-F",40,"PLT00042",2.4675
"51","M1",2016-01-07,"OMXX","72-18-F",29.5,"PLT00048",42.37
"52","M1",2016-01-08,"AKPG","72-18-F",64.5,"PLT00068",117.762
"53","M1",2016-01-08,"OMXX","72-14-F",26.5,"PLT00048",44.015
