Date,Grade,Caliper,Width,Tons,Plant,Mill
8/1/2015,NB,16-0,58.125,13.3735,"GPI-PACIFIC,MO",Middletown
8/1/2015,NB,16-0,59.9375,41.4725,"GPI-LUMBERTON,NC",Middletown
8/1/2015,NB,18-0,26.625,41.922,"GPI-STONE MOUNTAIN,GA",Middletown
8/1/2015,NB,18-0,28.75,45.129,"GPI-GORDONSVILLE,TN",Middletown
8/1/2015,NB,18-0,32.375,11.3615,"GPI-OAKS,PA",Middletown
8/1/2015,NB,18-0,34.125,49.7335,"GPI-CAROL STREAM,IL",Middletown
8/1/2015,NB,18-0,35.4375,66.091,"GPI-MISSISSAUGA,ON",Middletown
8/1/2015,NB,18-0,40.0625,2.3415,"GPI-OAKS,PA",Middletown
8/1/2015,NB,18-0,40.0625,54.1365,"GPI-SOLON,OH",Middletown
8/1/2015,NB,18-0,41.75,28.938,"GPI-MISSISSAUGA,ON",Middletown
8/1/2015,NB,18-0,43.375,70.891,"GPI-CAROL STREAM,IL",Middletown
8/1/2015,NB,20-0,26.1875,7.3855,"GPI-CHARLOTTE,NC",Kalamazoo
8/1/2015,NB,20-0,29.3125,22.5975,"GPI-KALAMAZOO,MI",Kalamazoo
8/1/2015,NB,20-0,29.75,162.11,"GPI-KENDALLVILLE,IN",Kalamazoo
8/1/2015,NB,20-0,30.125,27.657,"GPI-KENDALLVILLE,IN",Kalamazoo
8/1/2015,NB,20-0,30.3125,27.677,"GPI-KENDALLVILLE,IN",Kalamazoo
8/1/2015,NB,20-0,30.5,23.737,"GPI-CHARLOTTE,NC",Kalamazoo
8/1/2015,NB,20-0,30.75,49.8415,"GPI-KENDALLVILLE,IN",Kalamazoo
8/1/2015,NB,20-0,31.125,19.961,"GPI-CAROL STREAM,IL",Kalamazoo
8/1/2015,NB,20-0,31.4375,51.071,"GPI-MITCHELL,SD",Kalamazoo
8/1/2015,NB,20-0,31.4375,6.81,"GPI-PACIFIC,MO",Kalamazoo
8/1/2015,NB,20-0,34.8125,91.131,"GPI-CAROL STREAM,IL",Kalamazoo
8/1/2015,NB,20-0,36.375,56.4135,"GPI-MITCHELL,SD",Kalamazoo
8/1/2015,NB,20-0,38.9375,28.501,"GPI-MENASHA,WI",Kalamazoo
8/1/2015,NB,20-0,40.5,32.448,"GPI-KALAMAZOO,MI",Kalamazoo
8/1/2015,NB,20-0,40.75,90.0425,"GPI-KALAMAZOO,MI",Kalamazoo
8/1/2015,NB,20-0,41.375,61.63,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/1/2015,NB,20-0,41.375,2.136,"GPI-KALAMAZOO,MI",Kalamazoo
8/1/2015,NB,20-0,43.75,10.1925,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/1/2015,NB,20-0,56.6875,15.99,"GPI-PACIFIC,MO",Kalamazoo
8/1/2015,NB,20-0,63.1875,20.2145,"GPI-PACIFIC,MO",Kalamazoo
8/1/2015,NB,21-0,38.8125,74.726,"GPI-KALAMAZOO,MI",Kalamazoo
8/1/2015,NB,21-0,42.375,163.177,"GPI-KALAMAZOO,MI",Kalamazoo
8/1/2015,NB,22-0,28.125,9.538,"GPI-KALAMAZOO,MI",Kalamazoo
8/1/2015,NB,22-0,29.5,20.009,"GPI-KALAMAZOO,MI",Kalamazoo
8/1/2015,NB,22-0,30.75,10.2755,"GPI-KALAMAZOO,MI",Kalamazoo
8/1/2015,NB,22-0,31.875,68.0415,"GPI-OAKS,PA",Battle Creek
8/1/2015,NB,22-0,40.625,140.9275,"GPI-IRVINE,CA",Santa Clara
8/1/2015,NB,22-0,43,53.142,"GPI-CHARLOTTE,NC",Battle Creek
8/1/2015,NB,22-0,43.625,9.906,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
8/1/2015,NB,24-0,18.625,18.7985,GPI-COBOURG,Kalamazoo
8/1/2015,NB,24-0,28.125,40.9075,"GPI-IRVINE,CA",Santa Clara
8/1/2015,NB,24-0,34.1875,15.435,"GPI-CENTRALIA,IL",Kalamazoo
8/1/2015,NB,24-0,34.375,24.895,"GPI-KALAMAZOO,MI",Kalamazoo
8/1/2015,NB,24-0,35.3125,19.629,"GPI-PACIFIC,MO",Kalamazoo
8/1/2015,NB,24-0,39.5625,15.1535,"GPI-STONE MOUNTAIN,GA",Kalamazoo
8/1/2015,NB,24-1,39.9375,34.955,"GPI-OROVILLE,CA",Santa Clara
8/1/2015,NB,24-0,51.5,2.7615,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/1/2015,NB,24-0,60.625,47.779,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/2/2015,NB,16-0,22.4375,15.8195,"GPI-OAKS,PA",Kalamazoo
8/2/2015,NB,16-0,26.5625,15.5095,GPI-WINNIPEG,Kalamazoo
8/2/2015,NB,16-0,28.0625,31.5345,"GPI-GORDONSVILLE,TN",Kalamazoo
8/2/2015,NB,16-0,31.875,92.931,"GPI-GORDONSVILLE,TN",Kalamazoo
8/2/2015,NB,16-0,31.875,16.518,"GPI-PACIFIC,MO",Kalamazoo
8/2/2015,NB,16-0,37.625,43.2265,"GPI-CENTRALIA,IL",Kalamazoo
8/2/2015,NB,16-0,37.875,10.8455,"GPI-STONE MOUNTAIN,GA",Middletown
8/2/2015,NB,16-0,39.25,202.4995,"GPI-MITCHELL,SD",Kalamazoo
8/2/2015,NB,16-0,39.25,70.9605,"GPI-OAKS,PA",Kalamazoo
8/2/2015,NB,16-0,39.4375,19.9335,"GPI-STONE MOUNTAIN,GA",Middletown
8/2/2015,NB,16-0,39.75,14.5485,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/2/2015,NB,16-0,42.625,84.5585,"GPI-CAROL STREAM,IL",Middletown
8/2/2015,NB,16-0,45.5,13.0465,"GPI-CHARLOTTE,NC",Kalamazoo
8/2/2015,NB,16-0,45.5,21.4795,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/2/2015,NB,16-0,45.5,13.368,"GPI-TUSCALOOSA,AL",Kalamazoo
8/2/2015,NB,16-0,50,43.9565,"GPI-SOLON,OH",Kalamazoo
8/2/2015,NB,16-0,54.625,32.041,"GPI-CHARLOTTE,NC",Kalamazoo
8/2/2015,NB,16-0,58.125,27.283,"GPI-PACIFIC,MO",Middletown
8/2/2015,NB,18-0,30.5,6.559,"GPI-KALAMAZOO,MI",Kalamazoo
8/2/2015,NB,18-0,34.75,4.186,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
8/2/2015,NB,18-0,39.625,6.2565,"GPI-CENTRALIA,IL",Kalamazoo
8/2/2015,NB,18-0,39.625,2.2645,"GPI-MITCHELL,SD",Kalamazoo
8/2/2015,NB,18-0,44.125,5.67,"GPI-VANCOUVER,WA",Santa Clara
8/2/2015,NB,20-0,27,1.543,"GPI-KENDALLVILLE,IN",Kalamazoo
8/2/2015,NB,20-1,29.5,33.925,"GPI-VANCOUVER,WA",Santa Clara
8/2/2015,NB,20-0,29.75,34.4205,"GPI-KENDALLVILLE,IN",Kalamazoo
8/2/2015,NB,20-0,30.125,10.179,"GPI-KENDALLVILLE,IN",Kalamazoo
8/2/2015,NB,20-0,30.75,10.39,"GPI-KENDALLVILLE,IN",Kalamazoo
8/2/2015,NB,20-0,36.375,14.6545,"GPI-MITCHELL,SD",Kalamazoo
8/2/2015,NB,20-1,39.375,22.9275,"GPI-VANCOUVER,WA",Santa Clara
8/2/2015,NB,20-0,40.5,43.687,"GPI-KALAMAZOO,MI",Kalamazoo
8/2/2015,NB,20-0,46.75,35.4355,"GPI-TUSCALOOSA,AL",Battle Creek
8/2/2015,NB,20-0,47,4.878,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
8/2/2015,NB,20-0,47.75,18.4165,"GPI-PACIFIC,MO",Kalamazoo
8/2/2015,NB,20-1,48.125,5.2625,"GPI-GRESHAM,OR",Santa Clara
8/2/2015,NB,20-0,56.6875,6.48,"GPI-PACIFIC,MO",Kalamazoo
8/2/2015,NB,20-0,58.4375,23.5445,"GPI-PACIFIC,MO",Kalamazoo
8/2/2015,NB,22-0,43.625,33.462,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
