Date,Grade,Caliper,Width,Tons,Plant
04-Sep-15,CRB,.016,15.500,1.199720909,Hamel
04-Sep-15,CRB,.016,15.500,1.272994656,Hamel
04-Sep-15,CRB,.016,15.500,2.411817195,Hamel
04-Sep-15,CRB,.016,15.500,1.218024956,Hamel
04-Sep-15,CRB,.016,15.500,1.087536672,Hamel
04-Sep-15,CRB,.016,15.500,2.403355891,Hamel
04-Sep-15,CRB,.016,15.500,1.202426224,Hamel
04-Sep-15,CRB,.016,15.500,1.201908185,Hamel
04-Sep-15,CRB,.016,15.500,1.209851451,Hamel
04-Sep-15,CRB,.016,15.500,1.206628096,Hamel
04-Sep-15,CRB,.016,15.500,1.200526747,Hamel
11-Nov-15,CRB,.016,19.750,0.33057334,Newton
18-Sep-15,CRB,.016,19.750,0.33057334,Newton
18-Sep-15,CRB,.016,19.750,0.33057334,Newton
18-Sep-15,CRB,.016,19.750,0.626375262,Newton
18-Sep-15,CRB,.016,19.750,0.33057334,Newton
11-Nov-15,CRB,.016,19.750,0.33057334,Newton
12-Apr-15,CRB,.016,19.750,0.421600781,Hamel
12-Apr-15,CRB,.016,19.750,0.843201563,Hamel
12-Apr-15,CRB,.016,19.750,0.843201563,Hamel
04-Sep-15,CRB,.016,19.750,0.383273438,Hamel
12-Apr-15,CRB,.016,19.750,0.421600781,Hamel
04-Sep-15,CRB,.016,19.750,0.295248305,Hamel
12-Apr-15,CRB,.016,19.750,0.843201563,Hamel
12-Apr-15,CRB,.016,19.750,0.090835805,Hamel
12-Apr-15,CRB,.016,19.750,0.843201563,Hamel
12-Apr-15,CRB,.016,19.750,0.421600781,Hamel
04-Sep-15,CRB,.016,19.750,0.766546875,Hamel
04-Sep-15,CRB,.016,19.750,0.383273438,Hamel
04-Sep-15,CRB,.016,19.750,0.368709047,Hamel
04-Sep-15,CRB,.016,19.750,0.766546875,Hamel
26-Oct-15,CRB,.016,23.500,0.473782031,Hamel
26-Oct-15,CRB,.016,23.500,0.87750175,Hamel
11-Dec-15,CRB,.016,23.500,0.775279688,Newton
26-Oct-15,CRB,.016,23.500,0.473782031,Hamel
11-Dec-15,CRB,.016,23.500,0.387639844,Newton
26-Oct-15,CRB,.016,23.500,0.947564063,Hamel
11-Dec-15,CRB,.016,23.500,0.775279688,Newton
30-Nov-15,CRB,.016,23.500,0.421843359,Newton
30-Nov-15,CRB,.016,23.500,0.421843359,Newton
30-Nov-15,CRB,.016,23.500,0.421843359,Newton
30-Jul-15,CRB,.016,23.500,0.421843359,Newton
30-Nov-15,CRB,.016,23.500,0.421843359,Newton
30-Nov-15,CRB,.016,23.500,0.421843359,Newton
30-Jul-15,CRB,.016,23.500,0.421843359,Newton
30-Jul-15,CRB,.016,23.500,0.421843359,Newton
30-Jul-15,CRB,.016,23.500,0.421843359,Newton
30-Nov-15,CRB,.016,23.500,0.421843359,Newton
30-Nov-15,CRB,.016,23.500,0.421843359,Newton
30-Jul-15,CRB,.016,23.500,0.421843359,Newton
20-Feb-15,CRB,.016,25.750,0.68210543,Hamel
31-Jan-15,CRB,.016,25.750,0.582996094,Hamel
31-Jan-15,CRB,.016,25.750,0.582996094,Hamel
20-Feb-15,CRB,.016,25.750,0.68404875,Hamel
20-Feb-15,CRB,.016,25.750,0.680162109,Hamel
